,movie_title,genres,country,language,imdb_score,actor_1_name
967,Unfaithful ,"Drama, Thriller",USA,English,6.7,Olivier Martinez
968,I Am Number Four ,"Action, Adventure, Sci-Fi, Thriller",USA,English,6.1,Alex Pettyfer
969,Syriana ,"Drama, Thriller",USA,English,7.0,Matt Damon
970,13 Hours ,"Action, Drama, Thriller, War",USA,English,7.4,Toby Stephens
971,The Book of Life ,"Adventure, Animation, Comedy, Family, Fantasy, Romance",USA,English,7.3,Channing Tatum
972,Firewall ,"Crime, Thriller",USA,English,5.8,Jimmy Bennett
973,Absolute Power ,"Action, Crime, Drama, Thriller",USA,English,6.7,Clint Eastwood
974,G.I. Jane ,"Action, Drama, War",USA,English,5.8,Viggo Mortensen
975,The Game ,"Drama, Mystery, Thriller",USA,English,7.8,Deborah Kara Unger
976,Silent Hill ,"Adventure, Horror, Mystery",Canada,English,6.6,Radha Mitchell
977,The Replacements ,"Comedy, Sport",USA,English,6.5,Keanu Reeves
978,American Reunion ,Comedy,USA,English,6.7,Alyson Hannigan
979,The Negotiator ,"Action, Crime, Drama, Mystery, Thriller",Germany,English,7.3,Kevin Spacey
980,Into the Storm ,"Action, Thriller",USA,English,5.8,Matt Walsh
981,Beverly Hills Cop III ,"Action, Comedy, Crime, Thriller",USA,English,5.5,Louis Lombardi
982,Gremlins 2: The New Batch ,"Comedy, Fantasy, Horror",USA,English,6.3,Christopher Lee
983,The Judge ,"Crime, Drama",USA,English,7.4,Robert Downey Jr.
984,The Peacemaker ,"Action, Thriller",USA,English,5.9,Armin Mueller-Stahl
985,Resident Evil: Apocalypse ,"Action, Horror, Sci-Fi, Thriller",Germany,English,6.2,Milla Jovovich
986,Bridget Jones: The Edge of Reason ,"Comedy, Drama, Romance",UK,English,5.9,Colin Firth
987,Out of Time ,"Crime, Drama, Romance, Thriller",USA,English,6.5,Denzel Washington
988,On Deadly Ground ,"Action, Adventure, Thriller",USA,English,4.4,Mike Starr
989,The Adventures of Sharkboy and Lavagirl 3-D ,"Action, Adventure, Family, Fantasy",USA,English,3.5,Taylor Lautner
990,The Beach ,"Adventure, Drama, Thriller",USA,English,6.6,Leonardo DiCaprio
991,Raising Helen ,"Comedy, Drama, Romance",USA,English,6.0,Amber Valletta
992,Ninja Assassin ,"Action, Crime, Thriller",USA,English,6.4,Shô Kosugi
993,For Love of the Game ,"Drama, Romance, Sport",USA,English,6.5,J.K. Simmons
994,A Touch of Frost             ,"Crime, Drama, Mystery",UK,English,7.8,David Jason
995,Striptease ,"Comedy, Crime, Drama, Thriller",USA,English,4.3,Demi Moore
996,Marmaduke ,"Comedy, Family",USA,English,4.2,Emma Stone
997,Hereafter ,"Drama, Fantasy",USA,English,6.5,Matt Damon
998,Murder by Numbers ,"Crime, Mystery, Thriller",USA,English,6.1,Ryan Gosling
999,Assassins ,"Action, Crime, Thriller",France,English,6.3,Muse Watson
1000,Hannibal Rising ,"Crime, Drama, Thriller",UK,English,6.2,Li Gong
1001,The Story of Us ,"Comedy, Drama, Romance",USA,English,5.9,Bruce Willis
1002,The Host ,"Action, Adventure, Romance, Sci-Fi, Thriller",USA,English,5.9,J.D. Evermore
1003,Basic ,"Action, Crime, Drama, Mystery, Thriller",Germany,English,6.5,Connie Nielsen
1004,Blood Work ,"Action, Crime, Drama, Mystery, Thriller",USA,English,6.4,Clint Eastwood
1005,The International ,"Action, Crime, Drama, Mystery, Thriller",USA,English,6.5,Naomi Watts
1006,Escape from L.A. ,"Action, Adventure, Sci-Fi, Thriller",USA,English,5.7,Steve Buscemi
1007,Twisted             ,"Drama, Mystery, Thriller",USA,English,7.5,Grey Damon
1008,The Iron Giant ,"Action, Adventure, Animation, Comedy, Drama, Family, Sci-Fi",USA,English,8.0,Vin Diesel
1009,The Life Aquatic with Steve Zissou ,"Adventure, Comedy, Drama",USA,English,7.3,Bill Murray
1010,Free State of Jones ,"Action, Biography, Drama, History, War",USA,English,6.7,Matthew McConaughey
1011,The Life of David Gale ,"Crime, Drama, Thriller",USA,English,7.5,Kevin Spacey
1012,Man of the House ,"Action, Comedy",USA,English,5.4,Christina Milian
1013,Run All Night ,"Action, Crime, Drama, Thriller",USA,English,6.6,Liam Neeson
1014,Eastern Promises ,"Crime, Mystery, Thriller",USA,English,7.7,Viggo Mortensen
1015,Into the Blue ,"Action, Adventure, Crime, Thriller",USA,English,5.8,Paul Walker
1016,The Messenger: The Story of Joan of Arc ,"Adventure, Biography, Drama, History, War",France,English,6.4,Paul Brooke
1017,Your Highness ,"Adventure, Comedy, Fantasy",USA,English,5.6,Natalie Portman
1018,Dream House ,"Drama, Mystery, Thriller",USA,English,6.0,Naomi Watts
1019,Mad City ,"Crime, Drama, Thriller",USA,English,6.2,Mia Kirshner
1020,Baby's Day Out ,"Adventure, Comedy, Crime, Drama, Family",USA,English,5.9,Joe Mantegna
1021,The Scarlet Letter ,"Drama, Romance",USA,English,5.1,Gary Oldman
1022,Fair Game ,"Biography, Drama, Thriller",USA,English,6.8,Naomi Watts
1023,Defiance             ,"Action, Drama, Sci-Fi",USA,English,7.0,Julie Benz
1024,Domino ,"Action, Biography, Crime, Drama, Thriller",France,English,6.0,Ian Ziering
1025,Jade ,"Crime, Drama, Thriller",USA,English,5.1,Michael Biehn
1026,Gamer ,"Action, Sci-Fi, Thriller",USA,English,5.8,Gerard Butler
1027,Beautiful Creatures ,"Drama, Fantasy, Romance",USA,English,6.2,Alden Ehrenreich
1028,Death to Smoochy ,"Comedy, Crime, Drama, Thriller",UK,English,6.4,Robin Williams
1029,Zoolander 2 ,Comedy,USA,English,4.8,Milla Jovovich
1030,The Big Bounce ,"Comedy, Crime",USA,English,4.9,Morgan Freeman
1031,What Planet Are You From? ,"Comedy, Sci-Fi",USA,English,5.6,Judy Greer
1032,Drive Angry ,"Action, Fantasy, Thriller",USA,English,5.5,Nicolas Cage
1033,Street Fighter: The Legend of Chun-Li ,"Action, Crime, Drama, Mystery, Thriller",Canada,English,3.7,Chris Klein
1034,The One ,"Action, Sci-Fi, Thriller",USA,English,5.9,Jason Statham
1035,Outlander             ,"Drama, Romance, Sci-Fi",USA,English,8.5,Tobias Menzies
1036,The Adventures of Ford Fairlane ,"Action, Adventure, Comedy, Crime, Music, Mystery",USA,English,6.3,Lauren Holly
1037,Pirate Radio ,"Comedy, Drama, Music",UK,English,7.4,Philip Seymour Hoffman
1038,Traffic ,"Crime, Drama, Thriller",USA,English,7.6,Michael O'Neill
1039,Indiana Jones and the Last Crusade ,"Action, Adventure, Fantasy",USA,English,8.3,Harrison Ford
1040,Anna Karenina ,"Drama, Romance",UK,English,6.6,Kelly Macdonald
1041,Chappie ,"Action, Crime, Drama, Sci-Fi, Thriller",USA,English,6.9,Hugh Jackman
1042,The Bone Collector ,"Crime, Drama, Mystery, Thriller",USA,English,6.7,Denzel Washington
1043,Panic Room ,"Crime, Drama, Thriller",USA,English,6.8,Kristen Stewart
1044,The Tooth Fairy ,"Horror, Thriller",USA,English,4.6,P.J. Soles
1045,Three Kings ,"Action, Adventure, Comedy, Drama, War",USA,English,7.1,Judy Greer
1046,Child 44 ,"Crime, Drama, Thriller",Czech Republic,English,6.4,Tom Hardy
1047,Rat Race ,"Adventure, Comedy",Canada,English,6.4,Corinna Harney
1048,K-PAX ,"Drama, Mystery, Sci-Fi",USA,English,7.4,Kevin Spacey
1049,Kate & Leopold ,"Comedy, Fantasy, Romance",USA,English,6.4,Hugh Jackman
1050,Bedazzled ,"Comedy, Fantasy, Romance",USA,English,6.0,Brendan Fraser
1051,The Cotton Club ,"Crime, Drama, Music",USA,English,6.5,Nicolas Cage
1052,3:10 to Yuma ,"Adventure, Crime, Drama, Western",USA,English,7.8,Christian Bale
1053,Taken 3 ,"Action, Thriller",France,English,6.0,Liam Neeson
1054,Out of Sight ,"Crime, Drama, Romance, Thriller",USA,English,7.0,Don Cheadle
1055,The Cable Guy ,"Comedy, Drama, Thriller",USA,English,6.0,Matthew Broderick
1056,Earth ,"Drama, Romance, War",India,Hindi,7.8,Nandita Das
1057,Dick Tracy ,"Action, Comedy, Crime, Music, Romance, Thriller",USA,English,6.1,Charlie Korsmo
1058,The Thomas Crown Affair ,"Crime, Romance, Thriller",USA,English,6.8,Mark Margolis
1059,Riding in Cars with Boys ,"Biography, Comedy, Drama",USA,English,6.4,Rosie Perez
1060,First Blood ,"Action, Adventure, Drama",USA,English,7.7,Sylvester Stallone
1061,Solaris ,"Drama, Mystery, Sci-Fi",Soviet Union,Russian,8.1,Donatas Banionis
1062,Happily N'Ever After ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,4.5,Sarah Michelle Gellar
1063,Mary Reilly ,"Drama, Horror, Romance, Thriller",USA,English,5.8,Julia Roberts
1064,My Best Friend's Wedding ,"Comedy, Romance",USA,English,6.3,Julia Roberts
1065,America's Sweethearts ,"Comedy, Romance",USA,English,5.7,Julia Roberts
1066,Insomnia ,"Drama, Mystery, Thriller",USA,English,7.2,Al Pacino
1067,Star Trek: First Contact ,"Action, Adventure, Drama, Sci-Fi, Thriller",USA,English,7.6,LeVar Burton
1068,Jonah Hex ,"Action, Drama, Fantasy, Thriller, Western",USA,English,4.7,Michael Fassbender
1069,Courage Under Fire ,"Action, Drama, Mystery, Thriller, War",USA,English,6.6,Denzel Washington
1070,Liar Liar ,"Comedy, Fantasy, Romance",USA,English,6.8,Maura Tierney
1071,The Infiltrator ,"Biography, Crime, Drama, Thriller",UK,English,7.3,Joseph Gilgun
1072,Inchon ,"Drama, History, War",South Korea,English,2.7,Laurence Olivier
1073,The Flintstones ,"Comedy, Family, Fantasy",USA,English,4.8,Jonathan Winters
1074,Taken 2 ,"Action, Crime, Thriller",France,English,6.3,Liam Neeson
1075,Scary Movie 3 ,Comedy,USA,English,5.5,Regina Hall
1076,Miss Congeniality ,"Action, Comedy, Crime, Romance",USA,English,6.2,Candice Bergen
1077,Journey to the Center of the Earth ,"Action, Adventure, Family, Fantasy, Sci-Fi",USA,English,5.8,Josh Hutcherson
1078,The Princess Diaries 2: Royal Engagement ,"Comedy, Family, Romance",USA,English,5.7,Anne Hathaway
1079,The Pelican Brief ,"Crime, Drama, Mystery, Thriller",USA,English,6.5,Denzel Washington
1080,The Client ,"Crime, Drama, Mystery, Thriller",USA,English,6.7,Bradley Whitford
1081,The Bucket List ,"Adventure, Comedy, Drama",USA,English,7.4,Morgan Freeman
1082,Patriot Games ,"Action, Thriller",USA,English,6.9,Harrison Ford
1083,Monster-in-Law ,"Comedy, Romance",Germany,English,5.5,Adam Scott
1084,Prisoners ,"Crime, Drama, Mystery, Thriller",USA,English,8.1,Hugh Jackman
1085,Training Day ,"Crime, Drama, Thriller",USA,English,7.7,Denzel Washington
1086,Galaxy Quest ,"Adventure, Comedy, Sci-Fi",USA,English,7.3,Alan Rickman
1087,Scary Movie 2 ,Comedy,USA,English,5.2,Natasha Lyonne
1088,The Muppets ,"Adventure, Comedy, Family, Musical",USA,English,7.1,Bill Cobbs
1089,Blade ,"Action, Horror",USA,English,7.1,Sanaa Lathan
1090,Coach Carter ,"Drama, Sport",USA,English,7.2,Channing Tatum
1091,Changing Lanes ,"Drama, Thriller",USA,English,6.5,Sydney Pollack
1092,Anaconda ,"Action, Adventure, Horror, Thriller",USA,English,4.6,Frank Welker
1093,Coyote Ugly ,"Comedy, Drama, Music, Romance",USA,English,5.6,Adam Garcia
1094,Love Actually ,"Comedy, Drama, Romance",UK,English,7.7,Colin Firth
1095,A Bug's Life ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,7.2,Kevin Spacey
1096,From Hell ,"Horror, Mystery, Thriller",USA,English,6.8,Johnny Depp
1097,The Specialist ,"Action, Crime, Drama, Romance, Thriller",Peru,English,5.4,Sylvester Stallone
1098,Tin Cup ,"Comedy, Drama, Romance, Sport",USA,English,6.3,Don Johnson
1099,"Yours, Mine and Ours ","Comedy, Family",USA,English,7.2,Lucille Ball
1100,Kicking & Screaming ,"Comedy, Family, Romance, Sport",USA,English,5.6,Josh Hutcherson
1101,The Hitchhiker's Guide to the Galaxy ,"Adventure, Comedy, Sci-Fi",USA,English,6.8,Zooey Deschanel
1102,Fat Albert ,"Comedy, Family, Fantasy, Romance",USA,English,4.3,Dania Ramirez
1103,Resident Evil: Extinction ,"Action, Horror, Sci-Fi, Thriller",France,English,6.3,Milla Jovovich
1104,Blended ,"Comedy, Romance",USA,English,6.5,Bella Thorne
1105,Last Holiday ,"Adventure, Comedy, Drama",USA,English,6.4,LL Cool J
1106,The River Wild ,"Action, Adventure, Crime, Thriller",USA,English,6.3,Meryl Streep
1107,The Indian in the Cupboard ,"Drama, Family, Fantasy",USA,English,5.9,Steve Coogan
1108,Savages ,"Crime, Drama, Thriller",USA,English,6.5,Demián Bichir
1109,Cellular ,"Action, Crime, Thriller",USA,English,6.5,Richard Burgi
1110,Johnny English ,"Action, Adventure, Comedy",UK,English,6.1,Kevin McNally
1111,The Ant Bully ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,5.9,Nicolas Cage
1112,Dune ,"Action, Adventure, Sci-Fi",USA,English,6.6,Virginia Madsen
1113,Across the Universe ,"Drama, Fantasy, Musical, Romance",USA,English,7.4,Jim Sturgess
1114,Revolutionary Road ,"Drama, Romance",USA,English,7.3,Leonardo DiCaprio
1115,16 Blocks ,"Action, Crime, Drama, Thriller",Germany,English,6.6,Bruce Willis
1116,Babylon A.D. ,"Action, Adventure, Sci-Fi, Thriller",France,English,5.6,Vin Diesel
1117,The Glimmer Man ,"Action, Comedy, Crime, Drama, Thriller",USA,English,5.3,Alexa PenaVega
1118,Multiplicity ,"Comedy, Romance, Sci-Fi",USA,English,6.0,John de Lancie
1119,Aliens in the Attic ,"Adventure, Comedy, Family, Fantasy, Sci-Fi",USA,English,5.4,Malese Jow
1120,The Pledge ,"Crime, Drama, Mystery, Thriller",USA,English,6.8,Costas Mandylor
1121,The Producers ,"Comedy, Musical",USA,English,6.4,Jon Lovitz
1122,Dredd ,"Action, Sci-Fi",UK,English,7.1,Wood Harris
1123,The Phantom ,"Action, Adventure, Comedy, Fantasy",Australia,English,4.9,Cary-Hiroyuki Tagawa
1124,All the Pretty Horses ,"Drama, Romance, Western",USA,English,5.8,Matt Damon
1125,Nixon ,"Biography, Drama, History",USA,English,7.1,Anthony Hopkins
1126,The Ghost Writer ,"Mystery, Thriller",France,English,7.2,Jim Belushi
1127,Deep Rising ,"Action, Adventure, Horror, Sci-Fi",USA,English,6.0,Djimon Hounsou
1128,Miracle at St. Anna ,"Action, Crime, Drama, Thriller, War",USA,English,6.0,Joseph Gordon-Levitt
1129,Curse of the Golden Flower ,"Drama, Romance",China,Mandarin,7.0,Li Gong
1130,Bangkok Dangerous ,"Action, Crime, Thriller",USA,English,5.4,Nicolas Cage
1131,Big Trouble ,"Comedy, Crime, Thriller",USA,English,6.5,Zooey Deschanel
1132,Love in the Time of Cholera ,"Drama, Romance",USA,English,6.4,Marcela Mar
1133,The Returned             ,"Drama, Fantasy, Horror, Mystery",France,French,8.3,Pierre Perrier
1134,Shadow Conspiracy ,"Action, Thriller",USA,English,4.9,Sam Waterston
1135,Johnny English Reborn ,"Action, Adventure, Comedy, Crime",USA,English,6.3,Daniel Kaluuya
1136,Foodfight! ,"Action, Animation, Comedy, Family, Fantasy",USA,English,1.7,Jerry Stiller
1137,Argo ,"Biography, Drama, History, Thriller",USA,English,7.7,Clea DuVall
1138,The Fugitive ,"Action, Adventure, Crime, Drama, Mystery, Thriller",USA,English,7.8,Harrison Ford
1139,The Bounty Hunter ,"Action, Comedy, Romance",USA,English,5.5,Gerard Butler
1140,Sleepers ,"Crime, Drama, Thriller",USA,English,7.5,Robert De Niro
1141,Rambo: First Blood Part II ,"Action, Adventure, Thriller, War",USA,English,6.4,Sylvester Stallone
1142,The Juror ,"Drama, Thriller",USA,English,5.6,Joseph Gordon-Levitt
1143,Pinocchio ,"Animation, Family, Fantasy, Musical",USA,English,7.5,Mel Blanc
1144,Heaven's Gate ,"Adventure, Drama, Western",USA,English,6.8,Jeff Bridges
1145,Underworld: Evolution ,"Action, Adventure, Fantasy, Sci-Fi, Thriller",USA,English,6.8,Sophia Myles
1146,Victor Frankenstein ,"Drama, Horror, Sci-Fi, Thriller",USA,English,6.0,Daniel Radcliffe
1147,Finding Forrester ,Drama,USA,English,7.3,F. Murray Abraham
1148,28 Days ,"Comedy, Drama",USA,English,6.0,Steve Buscemi
1149,Unleashed ,"Action, Crime, Drama, Thriller",France,English,7.0,Morgan Freeman
1150,The Sweetest Thing ,"Comedy, Romance",USA,English,5.1,Judith Chapman
1151,The Firm ,"Drama, Mystery, Thriller",USA,English,6.8,Tom Cruise
1152,Charlie St. Cloud ,"Drama, Fantasy, Romance",USA,English,6.5,Augustus Prew
1153,The Mechanic ,"Action, Crime, Thriller",USA,English,6.6,Jason Statham
1154,21 Jump Street ,"Action, Comedy, Crime",USA,English,7.2,Channing Tatum
1155,Notting Hill ,"Comedy, Drama, Romance",UK,English,7.0,Julia Roberts
1156,Chicken Run ,"Adventure, Animation, Comedy, Drama, Family",UK,English,7.0,Imelda Staunton
1157,Along Came Polly ,"Comedy, Romance",USA,English,5.9,Philip Seymour Hoffman
1158,Boomerang ,"Comedy, Drama, Romance",USA,English,5.4,John Witherspoon
1159,The Heat ,"Action, Comedy, Crime",USA,English,6.6,Michael Rapaport
1160,Cleopatra ,"Biography, Drama, History, Romance",UK,English,7.0,Martin Landau
1161,Here Comes the Boom ,"Action, Comedy, Sport",USA,English,6.5,Salma Hayek
1162,High Crimes ,"Crime, Drama, Mystery, Thriller",USA,English,6.3,Morgan Freeman
1163,The Mirror Has Two Faces ,"Comedy, Drama, Romance",USA,English,6.5,Jeff Bridges
1164,The Mothman Prophecies ,"Drama, Horror, Mystery, Thriller",USA,English,6.5,Debra Messing
1165,Brüno ,Comedy,USA,English,5.8,Bono
1166,Licence to Kill ,"Action, Adventure, Thriller",UK,English,6.6,Robert Davi
1167,Red Riding Hood ,"Fantasy, Horror, Mystery, Thriller",USA,English,5.4,Gary Oldman
1168,15 Minutes ,"Action, Crime, Drama, Thriller",USA,English,6.1,Robert De Niro
1169,Super Mario Bros. ,"Adventure, Comedy, Family, Fantasy, Sci-Fi",UK,English,4.0,Bob Hoskins
1170,Lord of War ,"Crime, Drama, Thriller",USA,English,7.6,Nicolas Cage
1171,Hero ,"Action, Adventure, History",China,Mandarin,7.9,Jet Li
1172,One for the Money ,"Action, Comedy, Crime, Romance, Thriller",USA,English,5.3,Fisher Stevens
1173,The Interview ,Comedy,USA,English,6.6,James Franco
1174,The Warrior's Way ,"Action, Fantasy, Western",New Zealand,English,6.3,Tony Cox
1175,McHale's Navy             ,"Comedy, War",USA,English,7.5,Tim Conway
1176,Micmacs ,"Action, Comedy, Crime",France,French,7.2,Omar Sy
1177,8 Mile ,"Drama, Music",USA,English,7.0,Mekhi Phifer
1178,Animal Kingdom: Let's go Ape ,"Adventure, Animation, Comedy, Family",France,French,4.9,Jamel Debbouze
1179,A Knight's Tale ,"Action, Adventure, Romance",USA,English,6.9,Heath Ledger
1180,The Medallion ,"Action, Comedy, Fantasy",Hong Kong,English,5.2,Julian Sands
1181,The Sixth Sense ,"Drama, Mystery, Thriller",USA,English,8.1,Bruce Willis
1182,Man on a Ledge ,"Action, Crime, Thriller",USA,English,6.6,Robert Clohessy
1183,The Big Year ,Comedy,USA,English,6.2,Joel McHale
1184,The Karate Kid ,"Action, Drama, Family, Sport",USA,English,7.2,Martin Kove
1185,American Hustle ,"Crime, Drama",USA,English,7.3,Jennifer Lawrence
1186,The Proposal ,"Comedy, Drama, Romance",USA,English,6.7,Ryan Reynolds
1187,Double Jeopardy ,"Crime, Mystery, Thriller",USA,English,6.4,Bruce Greenwood
1188,Back to the Future Part II ,"Adventure, Comedy, Sci-Fi",USA,English,7.8,Lea Thompson
1189,Lucy ,"Action, Sci-Fi, Thriller",France,English,6.4,Scarlett Johansson
1190,Fifty Shades of Grey ,"Drama, Romance",USA,English,4.1,Jennifer Ehle
1191,Spy Kids 3-D: Game Over ,"Action, Adventure, Comedy, Family, Sci-Fi",USA,English,4.1,Sylvester Stallone
1192,A Time to Kill ,"Crime, Drama, Thriller",USA,English,7.4,Kevin Spacey
1193,Cheaper by the Dozen ,"Comedy, Family",USA,English,5.8,Tom Welling
1194,Lone Survivor ,"Action, Biography, Drama, Thriller, War",USA,English,7.6,Jerry Ferrara
1195,A League of Their Own ,"Comedy, Drama, Sport",USA,English,7.2,Tom Hanks
1196,The Conjuring 2 ,"Horror, Mystery, Thriller",USA,English,7.8,Javier Botet
1197,The Social Network ,"Biography, Drama",USA,English,7.7,Andrew Garfield
1198,He's Just Not That Into You ,"Comedy, Drama, Romance",USA,English,6.4,Carmen Perez
1199,Scary Movie 4 ,Comedy,USA,English,5.1,Beau Mirchoff
1200,Scream 3 ,"Horror, Mystery",USA,English,5.5,Kelly Rutherford
1201,Back to the Future Part III ,"Adventure, Comedy, Sci-Fi, Western",USA,English,7.4,Lea Thompson
1202,Get Hard ,"Comedy, Crime",USA,English,6.0,Will Ferrell
1203,Bram Stoker's Dracula ,"Fantasy, Horror, Romance",USA,English,7.5,Keanu Reeves
1204,Julie & Julia ,"Biography, Drama, Romance",USA,English,7.0,Meryl Streep
1205,42 ,"Biography, Drama, Sport",USA,English,7.5,Harrison Ford
1206,The Talented Mr. Ripley ,"Crime, Drama, Thriller",USA,English,7.3,Philip Seymour Hoffman
1207,Dumb and Dumber To ,Comedy,USA,English,5.7,Bill Murray
1208,Eight Below ,"Adventure, Drama, Family",USA,English,7.3,Paul Walker
1209,The Intern ,"Comedy, Drama",USA,English,7.2,Robert De Niro
1210,Ride Along 2 ,"Action, Comedy",USA,English,5.9,Olivia Munn
1211,The Last of the Mohicans ,"Action, Adventure, Drama, Romance, War",USA,English,7.8,Wes Studi
1212,Ray ,"Biography, Drama, Music",USA,English,7.7,Bokeem Woodbine
1213,Sin City ,"Crime, Thriller",USA,English,8.1,Rosario Dawson
1214,Vantage Point ,"Crime, Drama, Mystery, Thriller",USA,English,6.6,Dennis Quaid
1215,"I Love You, Man ","Comedy, Romance",USA,English,7.1,J.K. Simmons
1216,Shallow Hal ,"Comedy, Drama, Fantasy, Romance",USA,English,5.9,Jason Alexander
1217,JFK ,"Drama, History, Thriller",France,English,8.0,Sally Kirkland
1218,Big Momma's House 2 ,"Comedy, Crime",USA,English,4.6,Chloë Grace Moretz
1219,The Mexican ,"Adventure, Comedy, Crime, Romance",USA,English,6.1,J.K. Simmons
1220,Unbroken ,"Biography, Drama, Sport, War",USA,English,7.2,Finn Wittrock
1221,17 Again ,"Comedy, Drama, Family, Fantasy, Romance",USA,English,6.4,Matthew Perry
1222,The Other Woman ,"Comedy, Romance",USA,English,6.0,Don Johnson
1223,The Final Destination ,Horror,USA,English,5.2,Krista Allen
1224,Bridge of Spies ,"Drama, History, Thriller",USA,English,7.6,Tom Hanks
1225,Behind Enemy Lines ,"Action, Drama, Thriller, War",USA,English,6.4,Joaquim de Almeida
1226,Get Him to the Greek ,"Comedy, Music",USA,English,6.4,Pink
1227,Shall We Dance ,"Comedy, Drama, Romance",USA,English,6.1,Lisa Ann Walter
1228,Small Soldiers ,"Action, Adventure, Comedy, Family, Sci-Fi",USA,English,6.1,Kirsten Dunst
1229,Spawn ,"Action, Horror",USA,English,5.2,Michael Jai White
1230,The Count of Monte Cristo ,"Action, Adventure, Drama, Romance, Thriller",UK,English,7.7,Henry Cavill
1231,The Lincoln Lawyer ,"Crime, Drama, Thriller",USA,English,7.3,Matthew McConaughey
1232,Unknown ,"Action, Mystery, Thriller",UK,English,6.9,Liam Neeson
1233,The Prestige ,"Drama, Mystery, Sci-Fi, Thriller",USA,English,8.5,Christian Bale
1234,Horrible Bosses 2 ,"Comedy, Crime",USA,English,6.3,Kevin Spacey
1235,Escape from Planet Earth ,"Adventure, Animation, Comedy, Family, Sci-Fi",USA,English,5.9,Brendan Fraser
1236,Apocalypto ,"Action, Adventure, Drama, Thriller",USA,Maya,7.8,Rudy Youngblood
1237,The Living Daylights ,"Action, Adventure, Thriller",UK,English,6.7,Joe Don Baker
1238,Predators ,"Action, Adventure, Sci-Fi, Thriller",USA,English,6.4,Topher Grace
1239,Legal Eagles ,"Comedy, Crime, Romance",USA,English,5.9,Brian Dennehy
1240,Secret Window ,"Mystery, Thriller",USA,English,6.6,Johnny Depp
1241,The Lake House ,"Drama, Fantasy, Romance",USA,English,6.8,Keanu Reeves
1242,The Skeleton Key ,"Horror, Mystery, Thriller",USA,English,6.5,Gena Rowlands
1243,The Odd Life of Timothy Green ,"Comedy, Drama, Family, Fantasy",USA,English,6.6,Jennifer Garner
1244,Made of Honor ,"Comedy, Romance",USA,English,5.8,Busy Philipps
1245,Jersey Boys ,"Biography, Drama, Music, Musical",USA,English,6.9,Johnny Cannizzaro
1246,The Rainmaker ,"Crime, Drama, Thriller",USA,English,7.1,Matt Damon
1247,Gothika ,"Horror, Mystery, Thriller",USA,English,5.8,Robert Downey Jr.
1248,Amistad ,"Drama, History",USA,English,7.2,Anthony Hopkins
1249,Medicine Man ,"Adventure, Drama, Romance",USA,English,6.0,Lorraine Bracco
1250,Aliens vs. Predator: Requiem ,"Action, Horror, Sci-Fi, Thriller",USA,English,4.7,Sam Trammell
1251,Ri¢hie Ri¢h ,"Comedy, Family",USA,English,5.2,Macaulay Culkin
1252,Autumn in New York ,"Drama, Romance",USA,English,5.5,J.K. Simmons
1253,Music and Lyrics ,"Comedy, Music, Romance",USA,English,6.5,Brad Garrett
1254,Paul ,"Adventure, Comedy, Sci-Fi",USA,English,7.0,Bobby Lee
1255,The Guilt Trip ,"Comedy, Drama",USA,English,5.8,Miriam Margolyes
1256,Scream 4 ,"Horror, Mystery",USA,English,6.2,Alison Brie
1257,8MM ,"Mystery, Thriller",Germany,English,6.5,Nicolas Cage
1258,The Doors ,"Biography, Drama, Music, Musical",USA,English,7.2,Michael Wincott
1259,Sex Tape ,Comedy,USA,English,5.1,James Wilcox
1260,Hanging Up ,"Comedy, Drama",Germany,English,4.7,Adam Arkin
1261,Final Destination 5 ,Horror,USA,English,5.9,Emma Bell
1262,Mickey Blue Eyes ,"Comedy, Crime, Romance",UK,English,5.8,Jeanne Tripplehorn
1263,Pay It Forward ,Drama,USA,English,7.2,Kevin Spacey
1264,Fever Pitch ,"Comedy, Drama, Romance, Sport",USA,English,6.2,Jimmy Fallon
1265,Arthur             ,"Animation, Comedy, Family",Canada,English,7.4,Bruce Dinsmore
1266,Drillbit Taylor ,"Comedy, Drama",USA,English,5.7,Lisa Ann Walter
1267,A Million Ways to Die in the West ,"Comedy, Western",USA,English,6.1,Liam Neeson
1268,The Shadow ,"Action, Adventure, Crime, Fantasy, Mystery, Thriller",USA,English,6.0,Jonathan Winters
1269,Extremely Loud & Incredibly Close ,"Adventure, Drama, Mystery",USA,English,6.9,Tom Hanks
1270,Morning Glory ,"Comedy, Drama, Romance",USA,English,6.5,Noah Bean
1271,Get Rich or Die Tryin' ,"Biography, Crime, Drama, Music",USA,English,5.0,50 Cent
1272,The Art of War ,"Action, Adventure, Crime, Thriller",USA,English,5.7,Michael Biehn
1273,Rent ,"Drama, Musical, Romance",USA,English,7.0,Rosario Dawson
1274,Bless the Child ,"Crime, Drama, Horror, Thriller",USA,English,5.1,Rufus Sewell
1275,The Out-of-Towners ,Comedy,USA,English,5.3,Oliver Hudson
1276,The Island of Dr. Moreau ,"Horror, Sci-Fi, Thriller",USA,English,4.4,Marlon Brando
1277,The Musketeer ,"Action, Adventure, Romance",Germany,English,4.7,Catherine Deneuve
1278,The Other Boleyn Girl ,"Biography, Drama, History, Romance",UK,English,6.7,Natalie Portman
1279,Sweet November ,"Drama, Romance",USA,English,6.7,Keanu Reeves
